tic,conm,datadate,fyear,at,lt,teq,revt,ni,exchg,sic
AIR,AAR CORP,31MAY2019,2018,1517.2,611.3,905.9,2051.8,7.5,11.0,5080.0
AAL,AMERICAN AIRLINES GROUP INC,31DEC2018,2018,60580.0,60749.0,-169.0,44541.0,1412.0,14.0,4512.0
CECE,CECO ENVIRONMENTAL CORP,31DEC2018,2018,392.582,214.022,178.56,337.339,-7.121,14.0,3564.0
ASA,ASA GOLD AND PRECIOUS METALS,30NOV2018,2018,196.072,1.238,194.834,1.629,-48.789,11.0,6799.0
PNW,PINNACLE WEST CAPITAL CORP,31DEC2018,2018,17664.202,12315.497,5348.705,3691.247,511.047,11.0,4911.0
AAN,AARON'S INC,31DEC2018,2018,2826.692,1065.984,1760.708,3828.923,196.21,11.0,7359.0
ABT,ABBOTT LABORATORIES,31DEC2018,2018,67173.0,36451.0,30722.0,30578.0,2368.0,11.0,3845.0
ACU,ACME UNITED CORP,31DEC2018,2018,109.477,57.145,52.332,137.321,4.598,12.0,3420.0
BKTI,BK TECHNOLOGIES CORP,31DEC2018,2018,39.191,11.479,27.712,49.38,-0.195,12.0,3663.0
AE,ADAMS RESOURCES & ENERGY INC,31DEC2018,2018,278.87,132.272,146.598,1750.213,2.945,12.0,5172.0
AMD,ADVANCED MICRO DEVICES,31DEC2018,2018,4556.0,3290.0,1266.0,6475.0,337.0,14.0,3674.0
AEM,AGNICO EAGLE MINES LTD,31DEC2018,2018,7852.843,3302.831,4550.012,2191.221,-326.701,11.0,1040.0
APD,AIR PRODUCTS & CHEMICALS INC,30SEP2018,2018,19178.3,8002.0,11176.3,8930.2,1497.8,11.0,2810.0
AIRT,AIR T INC,31MAR2019,2018,115.142,86.308,23.358,249.834,1.34,14.0,4513.0
ALK,ALASKA AIR GROUP INC,31DEC2018,2018,10912.0,7161.0,3751.0,8264.0,437.0,11.0,4512.0
ATRI,ATRION CORP,31DEC2018,2018,231.216,20.449,210.767,152.448,34.255,14.0,3841.0
MATX,MATSON INC,31DEC2018,2018,2430.4,1675.1,755.3,2222.8,109.0,11.0,4400.0
ALX,ALEXANDER'S INC,31DEC2018,2018,1481.257,1196.165,285.092,232.825,32.844,11.0,6798.0
ALCO,ALICO INC,30SEP2018,2018,423.422,245.827,177.595,81.281,13.05,14.0,100.0
Y,ALLEGHANY CORP,31DEC2018,2018,25344.896,17482.424,7692.71,6873.46,39.539,11.0,6331.0
HON,HONEYWELL INTERNATIONAL INC,31DEC2018,2018,57773.0,39408.0,18358.0,41802.0,6765.0,11.0,9997.0
SWKS,SKYWORKS SOLUTIONS INC,30SEP2018,2018,4828.9,731.9,4097.0,3868.0,918.4,14.0,3674.0
HES,HESS CORP,31DEC2018,2018,21433.0,10545.0,10888.0,6323.0,-282.0,11.0,1311.0
UHAL,AMERCO,31MAR2019,2018,11891.713,8199.324,3692.389,3768.707,370.857,14.0,7510.0
ABM,ABM INDUSTRIES INC,31OCT2018,2018,3627.5,2172.9,1454.6,6442.2,97.8,11.0,7340.0
PRI,PRIMERICA INC,31DEC2018,2018,12595.048,11133.535,1461.513,1899.843,324.094,11.0,6311.0
ECOL,US ECOLOGY INC,31DEC2018,2018,947.898,588.681,359.217,565.928,49.595,14.0,4955.0
AEP,AMERICAN ELECTRIC POWER CO,31DEC2018,2018,68802.8,49634.6,19098.8,16195.7,1923.8,14.0,4911.0
AXP,AMERICAN EXPRESS CO,31DEC2018,2018,188602.0,166312.0,22290.0,43281.0,6921.0,11.0,6141.0
AFL,AFLAC INC,31DEC2018,2018,140406.0,116944.0,23462.0,21768.0,2920.0,11.0,6321.0
AIG,AMERICAN INTERNATIONAL GROUP,31DEC2018,2018,491984.0,434675.0,57309.0,47560.0,-6.0,11.0,6331.0
ANAT,AMERICAN NATIONAL GROUP INC,31DEC2018,2018,26912.353,21640.838,5271.515,3326.382,158.995,14.0,6311.0
ARL,AMERICAN REALTY INVESTORS,31DEC2018,2018,826.149,505.022,321.127,142.601,173.699,11.0,6513.0
AMS,AMERICAN SHARED HSPTL SERV,31DEC2018,2018,57.502,26.454,31.048,19.714,1.023,12.0,8090.0
AMSWA,AMERICAN SOFTWARE  -CL A,30APR2019,2018,161.31,46.703,114.607,108.706,6.803,14.0,7372.0
AVD,AMERICAN VANGUARD CORP,31DEC2018,2018,593.587,264.357,329.23,454.272,24.195,11.0,2870.0
AME,AMETEK INC,31DEC2018,2018,8662.288,4420.366,4241.922,4845.872,777.933,11.0,3823.0
AMGN,AMGEN INC,31DEC2018,2018,66416.0,53916.0,12500.0,23747.0,8394.0,14.0,2836.0
AP,AMPCO-PITTSBURGH CORP,31DEC2018,2018,571.119,478.15,92.969,419.432,-69.335,11.0,3460.0
AXR,AMREP CORP,30APR2019,2018,100.53,10.684,89.846,12.831,1.527,11.0,6552.0
ADI,ANALOG DEVICES,31OCT2018,2018,20449.779,9461.239,10988.54,6200.942,1495.432,14.0,3674.0
ANDE,ANDERSONS INC,31DEC2018,2018,2392.003,1515.239,876.764,3045.382,41.484,14.0,5150.0
NBR,NABORS INDUSTRIES LTD,31DEC2018,2018,7853.944,4698.757,2750.326,3057.619,-640.948,11.0,1381.0
APA,APACHE CORP,31DEC2018,2018,21582.0,12770.0,8812.0,7331.0,40.0,14.0,1311.0
APOG,APOGEE ENTERPRISES INC,28FEB2019,2018,1068.168,571.851,496.317,1402.637,45.694,14.0,3442.0
AAPL,APPLE INC,30SEP2018,2018,365725.0,258578.0,107147.0,265359.0,59531.0,14.0,3663.0
AMAT,APPLIED MATERIALS INC,31OCT2018,2018,17773.0,10934.0,6839.0,17253.0,3313.0,14.0,3559.0
EPAC,ENERPAC TOOL GROUP CORP,31AUG2018,2018,1481.338,922.626,558.712,1182.611,-21.648,11.0,3533.0
TREC,TRECORA RESOURCES,31DEC2018,2018,329.968,144.807,185.161,287.932,-2.332,11.0,2911.0
