tic,conm,datadate,fyear,at,lt,teq,revt,ni,exchg
AIR,AAR CORP,31MAY2020,2019,2079.0,1176.4,902.6,2089.3,4.4,11
AAL,AMERICAN AIRLINES GROUP INC,31DEC2019,2019,59995.0,60113.0,-118.0,45768.0,1686.0,14
CECE,CECO ENVIRONMENTAL CORP,31DEC2019,2019,408.637,215.62,193.017,341.869,17.707,14
ASA,ASA GOLD AND PRECIOUS METALS,30NOV2019,2019,286.612,0.733,285.879,2.371,91.431,11
PNW,PINNACLE WEST CAPITAL CORP,31DEC2019,2019,18479.247,12926.059,5553.188,3471.209,538.32,11
AAN,AARON'S INC,31DEC2019,2019,3297.8,1560.541,1737.259,3947.656,31.472,11
ABT,ABBOTT LABORATORIES,31DEC2019,2019,67887.0,36586.0,31301.0,31904.0,3687.0,11
ACU,ACME UNITED CORP,31DEC2019,2019,110.749,55.044,55.705,142.457,5.514,12
BKTI,BK TECHNOLOGIES CORP,31DEC2019,2019,37.94,14.664,23.276,40.1,-2.636,12
AE,ADAMS RESOURCES & ENERGY INC,31DEC2019,2019,330.842,179.201,151.641,1811.247,8.207,12
AMD,ADVANCED MICRO DEVICES,31DEC2019,2019,6028.0,3201.0,2827.0,6731.0,341.0,14
AEM,AGNICO EAGLE MINES LTD,31DEC2019,2019,8789.885,3678.371,5111.514,2494.892,473.166,11
APD,AIR PRODUCTS & CHEMICALS INC,30SEP2019,2019,18942.8,7554.5,11388.3,8918.9,1760.0,11
AIRT,AIR T INC,31MAR2020,2019,151.427,120.336,25.011,236.785,7.656,14
ALK,ALASKA AIR GROUP INC,31DEC2019,2019,12993.0,8662.0,4331.0,8781.0,769.0,11
ATRI,ATRION CORP,31DEC2019,2019,262.031,24.161,237.87,155.066,36.761,14
MATX,MATSON INC,31DEC2019,2019,2845.4,2039.7,805.7,2203.1,82.7,11
ALX,ALEXANDER'S INC,31DEC2019,2019,1265.511,1011.996,253.515,226.35,60.075,11
ALCO,ALICO INC,30SEP2019,2019,417.388,217.99,199.398,122.251,37.833,14
Y,ALLEGHANY CORP,31DEC2019,2019,26931.604,17950.117,8776.734,9025.716,857.801,11
HON,HONEYWELL INTERNATIONAL INC,31DEC2019,2019,58679.0,39966.0,18706.0,36709.0,6143.0,11
SWKS,SKYWORKS SOLUTIONS INC,30SEP2019,2019,4839.6,717.3,4122.3,3376.8,853.6,14
HES,HESS CORP,31DEC2019,2019,21782.0,12076.0,9706.0,6495.0,-408.0,11
UHAL,AMERCO,31MAR2020,2019,13438.024,9217.304,4220.72,3978.868,442.048,14
ABM,ABM INDUSTRIES INC,31OCT2019,2019,3692.6,2150.6,1542.0,6498.6,127.4,11
PRI,PRIMERICA INC,31DEC2019,2019,13688.531,12036.04,1652.491,2052.504,366.391,11
ECOL,US ECOLOGY INC,31DEC2019,2019,2231.244,1219.864,1011.38,685.509,33.14,14
AEP,AMERICAN ELECTRIC POWER CO,31DEC2019,2019,75892.3,55870.5,19956.1,15561.4,1921.1,11
AXP,AMERICAN EXPRESS CO,31DEC2019,2019,198321.0,175250.0,23071.0,47020.0,6759.0,11
AFL,AFLAC INC,31DEC2019,2019,152768.0,123809.0,28959.0,22369.0,3304.0,11
AIG,AMERICAN INTERNATIONAL GROUP,31DEC2019,2019,525064.0,457637.0,67427.0,49310.0,3348.0,11
ANAT,AMERICAN NATIONAL GROUP INC,31DEC2019,2019,28597.566,22601.803,5995.763,4070.143,620.363,14
ARL,AMERICAN REALTY INVESTORS,31DEC2019,2019,830.641,534.125,296.516,73.925,-15.958,11
AMS,AMERICAN SHARED HSPTL SERV,31DEC2019,2019,53.783,21.972,31.811,20.605,0.659,12
AMSWA,AMERICAN SOFTWARE  -CL A,30APR2020,2019,171.293,51.871,119.422,115.466,6.742,14
AVD,AMERICAN VANGUARD CORP,31DEC2019,2019,670.098,325.942,344.156,468.186,13.601,11
AME,AMETEK INC,31DEC2019,2019,9844.559,4729.067,5115.492,5158.557,861.297,11
AMGN,AMGEN INC,31DEC2019,2019,59707.0,50034.0,9673.0,23362.0,7842.0,14
AP,AMPCO-PITTSBURGH CORP,31DEC2019,2019,506.56,450.944,55.616,397.904,-20.986,11
